id,category,question,optionA,optionB,optionC,optionD,correctAnswer,explanation
A1,funfacts,How many hearts does an octopus have?,1,2,3,4,C,Octopuses have three hearts: two pump blood through the gills and one pumps it through the body.
A2,funfacts,Which planet has the most moons?,Earth,Jupiter,Saturn,Neptune,C,Saturn has 83 confirmed moons as of 2023 which is more than any other planet in our solar system.
A3,funfacts,What percentage of the Earth's surface is covered by oceans?,50%,60%,70%,80%,C,About 71% of the Earth's surface is covered by water with oceans making up about 70%.
A4,funfacts,Which animal sleeps standing up?,Elephants,Horses,Lions,Bears,B,Horses can lock their leg joints which allows them to sleep standing up to quickly escape predators if needed.
A5,funfacts,How long does it take sunlight to reach Earth?,8 minutes,8 hours,8 days,8 seconds,A,It takes about 8 minutes and 20 seconds for light from the Sun to reach Earth.
A6,funfacts,What is the smallest bone in the human body?,Stapes,Femur,Humerus,Tibia,A,The stapes (stirrup) bone in the middle ear is the smallest bone measuring only about 3mm.
A7,funfacts,What color is a giraffe's tongue?,Blue,Black,Purple,Red,C,Giraffes have purple-bluish tongues that can grow up to 20 inches long.
A8,funfacts,What is the only continent without native snake species?,Asia,Europe,Antarctica,Australia,C,Antarctica is the only continent with no native snake species due to its extreme cold climate.
A9,funfacts,How many teeth does an adult human have?,28,30,32,36,C,A full set of adult human teeth contains 32 teeth including wisdom teeth.
A10,funfacts,Which metal is liquid at room temperature?,Iron,Copper,Mercury,Silver,C,Mercury is the only metal that is liquid at standard room temperature and pressure.
B1,psychology,What is the term for the tendency to recall unfinished tasks better than completed ones?,Zeigarnik effect,Dunning-Kruger effect,Placebo effect,Hawthorne effect,A,The Zeigarnik effect describes how people remember uncompleted tasks better than completed ones due to psychological tension.
B2,psychology,Which part of the brain is primarily responsible for decision-making?,Cerebellum,Amygdala,Prefrontal cortex,Hippocampus,C,The prefrontal cortex is crucial for complex cognitive behavior including decision making and moderating social behavior.
B3,psychology,What is the term for the study of body language?,Kinesics,Linguistics,Ergonomics,Proxemics,A,Kinesics is the study and interpretation of nonverbal communication through body movements and gestures.
B4,psychology,What psychological phenomenon describes our tendency to seek information that confirms our existing beliefs?,Confirmation bias,Availability heuristic,Anchoring bias,Reactance,A,Confirmation bias is the tendency to search for interpret and recall information in a way that confirms one's preexisting beliefs.
